2023-11-20 14:35:27,273 | log |  INFO: Started
2023-11-20 14:35:27,273 | log.calculo |  INFO: Calculando Costos
2023-11-20 14:35:27,296 | log |  INFO: Nadie Compra
2023-11-20 14:35:27,296 | log |  INFO: Nadie Compra
2023-11-20 14:35:27,296 | log |  INFO: Nadie Compra
2023-11-21 14:55:13,728 | log |  INFO: Started
2023-11-21 14:55:13,830 | log |  INFO: Evaluating 
2023-11-21 14:55:13,830 | log |  INFO: Evaluating 
2023-11-21 14:55:13,830 | log |  INFO: Evaluating 
2023-11-21 14:55:13,830 | log |  INFO: tna: 112.477 - TLR 107.8
2023-11-21 14:55:14,353 | log |  INFO: Evaluating 
2023-11-21 14:55:14,353 | log |  INFO: tna: 112.477 - TLR 107.8
2023-11-21 14:55:15,431 | log |  INFO: Evaluating 
2023-11-21 14:55:15,431 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:15,661 | log |  INFO: Evaluating 
2023-11-21 14:55:15,661 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:16,659 | log |  INFO: Evaluating 
2023-11-21 14:55:16,659 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:17,234 | log |  INFO: Evaluating 
2023-11-21 14:55:17,234 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:17,430 | log |  INFO: Evaluating 
2023-11-21 14:55:17,430 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:17,668 | log |  INFO: Evaluating 
2023-11-21 14:55:17,668 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:19,058 | log |  INFO: Evaluating 
2023-11-21 14:55:19,058 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:19,559 | log |  INFO: Evaluating 
2023-11-21 14:55:19,559 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:19,956 | log |  INFO: Evaluating 
2023-11-21 14:55:19,956 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:20,934 | log |  INFO: Evaluating 
2023-11-21 14:55:20,934 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:21,227 | log |  INFO: Evaluating 
2023-11-21 14:55:21,227 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:21,456 | log |  INFO: Evaluating 
2023-11-21 14:55:21,456 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:22,089 | log |  INFO: Evaluating 
2023-11-21 14:55:22,089 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:22,528 | log |  INFO: Evaluating 
2023-11-21 14:55:22,528 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:23,095 | log |  INFO: Evaluating 
2023-11-21 14:55:23,095 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:24,353 | log |  INFO: Evaluating 
2023-11-21 14:55:24,354 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:25,310 | log |  INFO: Evaluating 
2023-11-21 14:55:25,310 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:25,562 | log |  INFO: Evaluating 
2023-11-21 14:55:25,562 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:26,350 | log |  INFO: Evaluating 
2023-11-21 14:55:26,350 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:27,338 | log |  INFO: Evaluating 
2023-11-21 14:55:27,338 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:27,845 | log |  INFO: Evaluating 
2023-11-21 14:55:27,845 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:28,853 | log |  INFO: Evaluating 
2023-11-21 14:55:28,853 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:29,353 | log |  INFO: Evaluating 
2023-11-21 14:55:29,353 | log |  INFO: tna: 112.823 - TLR 107.8
2023-11-21 14:55:29,556 | log |  INFO: Evaluating 
2023-11-21 14:55:29,556 | log |  INFO: tna: 114.899 - TLR 107.8
2023-11-21 14:55:31,325 | log |  INFO: Evaluating 
2023-11-21 14:55:31,326 | log |  INFO: tna: 114.899 - TLR 107.8
2023-11-21 14:55:31,779 | log |  INFO: Evaluating 
2023-11-21 14:55:31,779 | log |  INFO: tna: 114.899 - TLR 107.8
2023-11-21 14:55:32,351 | log |  INFO: Evaluating 
2023-11-21 14:55:32,351 | log |  INFO: tna: 114.899 - TLR 107.8
2023-11-21 14:55:32,844 | log |  INFO: Evaluating 
2023-11-21 14:55:32,845 | log |  INFO: tna: 114.899 - TLR 107.8
2023-11-21 14:55:33,242 | log |  INFO: Evaluating 
2023-11-21 14:55:33,242 | log |  INFO: tna: 114.899 - TLR 107.8
